车牌	VIN	ICCID	最后通讯时间	最后有效里程	电压	最后有效总电压上传时间	最后经度	最后纬度
陕A7D5G1	LGHC4V1D1HE203170	89860117750004329364	20180712083840	55.0	574.5	20180712083840	108.821307	34.280405
陕A6D5P7	LGHC4V1D9HE203188	89860117750004328655	20180712103308	2792.0	582.5	20180712103308	108.937195	34.1971
陕A2D3M7	LGHC4V1D0HE203189	89860117750004318672	20180712010509	771.0	519.5	20180711130318	108.994342	34.373542
陕A9D2Z3	LGHC4V1D1HE203203	89860117795950235495	20180712003939	329.0	521.3	20180711123738	108.9943	34.373547
陕A2D0A7	LGHC4V1D1HE203217	89860117750004315652	20180712115935	11290.0	542.5	20180712115935	109.08647	34.165143
川R70537	LGKALX3T8HE610004	89860117795950087466	20180712053401	28733.0	551.0	20180707170718	106.094773	30.839567
川R75188	LGKALX3T0HE610014	89860117796000437446	20180712115958	37423.0	556.2	20180712115958	106.064945	30.856763
川R70200	LGKALX3T6HE610020	89860117796000439681	20180712115935	38561.0	552.8	20180712115935	106.084902	30.791047
川R72255	LGKALX3T3HE610024	89860117795950228912	20180712115936	37436.0	552.3	20180712115936	106.103375	30.787193
川R75152	LGKALX3T9HE610027	89860117796000437784	20180712115952	11449.0	569.1	20180712115952	106.094743	30.839567
川R72855	LGKALX3T0HE610028	89860117796000439707	20180712115936	10777.0	555.5	20180712115936	106.074142	30.811268
川R72233	LGKALX3T2HE610029	89860117796000438535	20180711202157	29020.0	551.5	20180703194643	106.072285	30.80707
川R70620	LGKALX3T0HE610031	89860117796000438089	20180712115935	34557.0	568.5	20180712115935	106.068053	30.811185
川R71085	LGKALX3T2HE610032	89860117796000439673	20180712115958	35030.0	553.2	20180712115958	106.05459	30.739345
川R70363	LGKALX3T6HE610048	89860117796000439657	20180712115949	34993.0	552.7	20180712115949	106.061473	30.750977
川R70702	LGKALX3T8HE610052	89860117735910498320	20180712115931	34989.0	558.0	20180712115931	106.08223	30.79235
川R70300	LGKALX3TXHE610053	89860117796000559678	20180712115959	34223.0	556.0	20180712115959	106.08229	30.797285
川R75100	LGKALX3T1HE610054	89860117796000559876	20180712115945	31856.0	568.5	20180712115945	106.068102	30.811145
川R70661	LGKALX3T9HE610061	89860117795910148341	20180712115958	30750.0	556.4	20180712115958	106.073478	30.809332
川R73153	LGKALX3T0HE610062	89860117796000559777	20180712103010	34555.0	572.0	20180711222559	106.06797	30.811317
川R72881	LGKALX3T2HE610063	89860117796000559900	20180712115938	35749.0	555.5	20180712115938	106.072572	30.80695
川R70133	LGKALX3T1HE610068	89860117796000437545	20180712110654	35250.0	569.8	20180712110654	106.068157	30.811058
川R70185	LGKALX3TXHE610070	89860117796000559819	20180712115941	29626.0	556.2	20180712115941	106.057668	30.744162
川AD15977	LGHC4V1D1HE202987	89860117750004315025	20180712115911	12945.0	570.8	20180712115911	104.106168	30.673135
川AD02042	LGHC4V1D7HE202993	89860117795950234357	20180712112249	15209.0	539.7	20180712112249	104.148942	30.8413
浙G65753	LGKALX4T7HE610042	89860117796000558357	20180712115945	2936.0	551.7	20180712115945	120.040088	29.28346
皖BD09902	LGHC4V1D4HE204538	89860117750004330206	20180712042453	28.0	564.5	20180625151137	118.311302	30.912272
浙AL70H5	LGHC4V1D6HE205027	89860117750004319761	20180712115949	6553.0	564.7	20180712115949	120.060093	30.076788
浙AN82F2	LGHC4V1D2HE205025	89860117750004336096	20180620170829	76.0	552.8	20180614164149	120.045918	30.314348
